ensembl_gene_id,uniprotkb_canonical_ac,status,genename,brain
ENSMUSG00000031660,O88665-1,reviewed,"""Brd7""",4.8266
ENSMUSG00000029066,Q9CQL4-1,reviewed,"""Mrpl20""",6.1718
ENSMUSG00000003559,Q91WU5-1,reviewed,"""As3mt""",2.9012
ENSMUSG00000036501,Q8K2H3-1,reviewed,"""Fam13b""",3.8819
ENSMUSG00000033813,P10711-1,reviewed,"""Tcea1""",4.7109
ENSMUSG00000036504,Q9DAK9-1,reviewed,"""Phpt1""",6.0613
ENSMUSG00000021186,Q9WVH9-1,reviewed,"""Fbln5""",0.3303
ENSMUSG00000021185,Q8BH86-1,reviewed,"""Dglucy""",1.9809
ENSMUSG00000022568,Q80U72-1,reviewed,"""Scrib""",4.1325
ENSMUSG00000009739,Q07916-1,reviewed,"""Pou6f1""",5.3412
ENSMUSG00000022565,Q9QXS1-1,reviewed,"""Plec""",4.5185
ENSMUSG00000022564,Q9ESF4-1,reviewed,"""Grina""",8.1582
ENSMUSG00000029207,Q9DBR4-1,reviewed,"""Apbb2""",3.4558
ENSMUSG00000022561,Q9WTK3-1,reviewed,"""Gpaa1""",5.4116
ENSMUSG00000022560,Q9D8F3-1,reviewed,"""Slc52a2""",2.5111
ENSMUSG00000022562,Q8K010-1,reviewed,"""Oplah""",3.7652
ENSMUSG00000047454,Q8BUV3-1,reviewed,"""Gphn""",4.6387
ENSMUSG00000003778,Q8R3B7-1,reviewed,"""Brd8""",4.1533
ENSMUSG00000026374,Q62348-1,reviewed,"""Tsn""",4.8361
ENSMUSG00000004951,P14602-1,reviewed,"""Hspb1""",2.8595
ENSMUSG00000012535,Q6P2B1-1,reviewed,"""Tnpo3""",4.627
ENSMUSG00000015214,Q9Z2C4-1,reviewed,"""Mtmr1""",3.8923
ENSMUSG00000015217,O54879-1,reviewed,"""Hmgb3""",4.0262
ENSMUSG00000048578,Q6ZQI3-1,reviewed,"""Mlec""",4.8098
ENSMUSG00000017969,O35074-1,reviewed,"""Ptgis""",0.8817
ENSMUSG00000046806,Q8BHZ5-1,reviewed,"""Cyren""",1.3683
ENSMUSG00000035637,Q91Z53-1,reviewed,"""Grhpr""",4.0037
ENSMUSG00000020900,Q61879-1,reviewed,"""Myh10""",5.8736
ENSMUSG00000037326,Q9JLG8-1,reviewed,"""Capn15""",3.812
ENSMUSG00000020634,Q99KJ0-1,reviewed,"""Ubxn2a""",3.7101
ENSMUSG00000028552,P42567-1,reviewed,"""Eps15""",5.9739
ENSMUSG00000025034,Q99PJ2-1,reviewed,"""Trim8""",4.6433
ENSMUSG00000025035,Q9WUL7-1,reviewed,"""Arl3""",6.6901
ENSMUSG00000028559,A2A8Z1-1,reviewed,"""Osbpl9""",5.6265
ENSMUSG00000034908,Q8CIF6-1,reviewed,"""Sidt2""",5.903
ENSMUSG00000052593,Q9Z0F8-1,reviewed,"""Adam17""",3.0838
ENSMUSG00000039218,Q8BTI8-1,reviewed,"""Srrm2""",7.1814
ENSMUSG00000046722,Q8BHL7-1,reviewed,"""Cdc42se1""",4.7364
ENSMUSG00000066621,Q80VP0-1,reviewed,"""Tecpr1""",5.1733
ENSMUSG00000062376,Q9CRC6-1,reviewed,"""Borcs7""",3.2105
ENSMUSG00000015750,Q8BVF7-1,reviewed,"""Aph1a""",3.9842
ENSMUSG00000072946,Q8VDQ1-1,reviewed,"""Ptgr2""",3.8786
ENSMUSG00000059772,Q8BX32-1,reviewed,"""Slx1b""",3.5724
ENSMUSG00000026837,O88207-1,reviewed,"""Col5a1""",2.562
ENSMUSG00000020402,Q60932-1,reviewed,"""Vdac1""",7.5852
ENSMUSG00000026750,P70195-1,reviewed,"""Psmb7""",6.6664
ENSMUSG00000022983,Q6PFF0-1,unreviewed,"""Scaf4""",3.6074
ENSMUSG00000039195,P58686-1,reviewed,,7.2949
ENSMUSG00000039191,P31266-1,reviewed,"""Rbpj""",2.9058
ENSMUSG00000032366,P58771-1,reviewed,"""Tpm1""",6.6079
ENSMUSG00000039199,Q8R0N9-1,reviewed,"""Zdhhc1""",4.7166
ENSMUSG00000061353,P40224-2,reviewed,"""Cxcl12""",4.4765
ENSMUSG00000037905,Q8BXV2-1,reviewed,"""Bri3bp""",3.9363
ENSMUSG00000037904,Q8BH83-1,reviewed,"""Ankrd9""",3.6
