"","project","sample","experiment","run","read_count_as_reported_by_sra","reads_downloaded","proportion_of_reads_reported_by_sra_downloaded","paired_end","sra_misreported_paired_end","mapped_read_count","auc","sharq_beta_tissue","sharq_beta_cell_type","biosample_submission_date","biosample_publication_date","biosample_update_date","avg_read_length","geo_accession","bigwig_file","title","characteristics"
"SRR1740058","SRP051688","SRS807490","SRX828402","SRR1740058",61065498,61065498,1,TRUE,FALSE,60199102,2994139577,NA,NA,"2015-01-05T10:21:58.970","2015-01-06T00:44:13.867","2015-01-06T01:28:42.010",100,"GSM1576415","SRR1740058.bw","HD30_T_0_SL27203",c("time: 0 d", "cell type: primary human T cells", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740059","SRP051688","SRS807491","SRX828403","SRR1740059",56206758,56206758,1,TRUE,FALSE,55338218,2751826902,NA,NA,"2015-01-05T10:20:17.893","2015-01-06T00:44:13.130","2015-01-06T01:25:23.220",100,"GSM1576416","SRR1740059.bw","HD30_T_1_SL27210",c("time: 1 d", "cell type: primary human T cells", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740060","SRP051688","SRS807492","SRX828404","SRR1740060",61297492,61297492,1,TRUE,FALSE,60441729,3006682859,NA,NA,"2015-01-05T10:20:26.470","2015-01-06T00:44:13.283","2015-01-06T01:28:42.423",100,"GSM1576417","SRR1740060.bw","HD30_T_3_SL27217",c("time: 3 d", "cell type: primary human T cells", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740061","SRP051688","SRS807493","SRX828405","SRR1740061",56943824,56943824,1,TRUE,FALSE,56145969,2791366503,NA,NA,"2015-01-05T10:20:19.923","2015-01-06T00:44:13.177","2015-01-06T01:28:42.830",100,"GSM1576418","SRR1740061.bw","HD30_T_7_SL27224",c("time: 7 d", "cell type: primary human T cells", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740062","SRP051688","SRS807494","SRX828406","SRR1740062",43800490,43800490,1,TRUE,FALSE,42887812,2132664154,NA,NA,"2015-01-05T10:20:22.220","2015-01-06T00:44:13.207","2015-01-06T01:33:27.403",100,"GSM1576419","SRR1740062.bw","HD31_B_0_SL17288",c("time: 0 d", "cell type: primary human B cells", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740063","SRP051688","SRS807495","SRX828407","SRR1740063",53907258,53907258,1,TRUE,FALSE,48584361,2402014292,NA,NA,"2015-01-05T10:20:29.400","2015-01-06T00:44:13.313","2015-01-06T01:33:27.687",100,"GSM1576420","SRR1740063.bw","HD31_B_1_SL17296",c("time: 1 d", "cell type: primary human B cells", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740064","SRP051688","SRS807496","SRX828408","SRR1740064",61340308,61340308,1,TRUE,FALSE,58876039,2924311883,NA,NA,"2015-01-05T10:23:14.200","2015-01-06T00:44:14.870","2015-01-06T01:20:40.970",100,"GSM1576421","SRR1740064.bw","HD31_B_3_SL17304",c("time: 3 d", "cell type: primary human B cells", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740065","SRP051688","SRS807497","SRX828409","SRR1740065",39755910,39755910,1,TRUE,FALSE,38945855,1937400004,NA,NA,"2015-01-05T10:22:33.100","2015-01-06T00:44:14.310","2015-01-06T01:20:41.410",100,"GSM1576422","SRR1740065.bw","HD31_B_7_SL17312",c("time: 7 d", "cell type: primary human B cells", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740066","SRP051688","SRS807498","SRX828410","SRR1740066",58667726,58667726,1,TRUE,FALSE,57407185,2855639961,NA,NA,"2015-01-05T10:22:28.203","2015-01-06T00:44:14.233","2015-01-06T01:28:43.193",100,"GSM1576423","SRR1740066.bw","HD31_DC_0_SL17285",c("time: 0 d", "cell type: primary human myeloid DC", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740067","SRP051688","SRS807499","SRX828411","SRR1740067",63200794,63200794,1,TRUE,FALSE,58336792,2889457499,NA,NA,"2015-01-05T10:23:23.980","2015-01-06T00:44:15.017","2015-01-06T01:25:23.747",100,"GSM1576424","SRR1740067.bw","HD31_DC_1_SL17293",c("time: 1 d", "cell type: primary human myeloid DC", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740068","SRP051688","SRS807500","SRX828412","SRR1740068",89143672,89143672,1,TRUE,FALSE,85557023,4250728302,NA,NA,"2015-01-05T10:22:54.307","2015-01-06T00:44:14.613","2015-01-06T01:20:41.857",100,"GSM1576425","SRR1740068.bw","HD31_DC_3_SL17301",c("time: 3 d", "cell type: primary human myeloid DC", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740069","SRP051688","SRS807501","SRX828413","SRR1740069",67026896,67026896,1,TRUE,FALSE,65584299,3263692297,NA,NA,"2015-01-05T10:22:11.930","2015-01-06T00:44:14.030","2015-01-06T01:25:24.103",100,"GSM1576426","SRR1740069.bw","HD31_DC_7_SL17309",c("time: 7 d", "cell type: primary human myeloid DC", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740070","SRP051688","SRS807502","SRX828414","SRR1740070",60711902,60711902,1,TRUE,FALSE,59318366,2950679333,NA,NA,"2015-01-05T10:22:45.267","2015-01-06T00:44:14.470","2015-01-06T01:20:42.347",100,"GSM1576427","SRR1740070.bw","HD31_MO_0_SL17284",c("time: 0 d", "cell type: primary human monocytes", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740071","SRP051688","SRS807503","SRX828415","SRR1740071",61961930,61961930,1,TRUE,FALSE,55764708,2757313263,NA,NA,"2015-01-05T10:21:54.423","2015-01-06T00:44:13.797","2015-01-06T01:28:43.493",100,"GSM1576428","SRR1740071.bw","HD31_MO_1_SL17292",c("time: 1 d", "cell type: primary human monocytes", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740072","SRP051688","SRS807504","SRX828416","SRR1740072",45611124,45611124,1,TRUE,FALSE,43778445,2175470755,NA,NA,"2015-01-05T10:22:21.220","2015-01-06T00:44:14.103","2015-01-06T01:33:27.943",100,"GSM1576429","SRR1740072.bw","HD31_MO_3_SL17300",c("time: 3 d", "cell type: primary human monocytes", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740073","SRP051688","SRS807505","SRX828417","SRR1740073",89608094,89608094,1,TRUE,FALSE,87546093,4355812244,NA,NA,"2015-01-05T10:23:18.850","2015-01-06T00:44:14.933","2015-01-06T01:33:28.187",100,"GSM1576430","SRR1740073.bw","HD31_MO_7_SL17308",c("time: 7 d", "cell type: primary human monocytes", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740074","SRP051688","SRS807506","SRX828418","SRR1740074",49630406,49630406,1,TRUE,FALSE,48606945,2417009570,NA,NA,"2015-01-05T10:22:06.580","2015-01-06T00:44:13.967","2015-01-06T01:20:42.760",100,"GSM1576431","SRR1740074.bw","HD31_NEU_0_SL17282",c("time: 0 d", "cell type: primary human neutrophils", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740075","SRP051688","SRS807507","SRX828419","SRR1740075",36322752,36322752,1,TRUE,FALSE,32993886,1631120534,NA,NA,"2015-01-05T10:21:35.390","2015-01-06T00:44:13.550","2015-01-06T01:25:24.403",100,"GSM1576432","SRR1740075.bw","HD31_NEU_1_SL17290",c("time: 1 d", "cell type: primary human neutrophils", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740076","SRP051688","SRS807508","SRX828420","SRR1740076",58656720,58656720,1,TRUE,FALSE,56449338,2804195630,NA,NA,"2015-01-05T10:22:40.170","2015-01-06T00:44:14.407","2015-01-06T01:28:43.787",100,"GSM1576433","SRR1740076.bw","HD31_NEU_3_SL17298",c("time: 3 d", "cell type: primary human neutrophils", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740077","SRP051688","SRS807509","SRX828421","SRR1740077",37518956,37518956,1,TRUE,FALSE,36723301,1826477423,NA,NA,"2015-01-05T10:23:09.540","2015-01-06T00:44:14.807","2015-01-06T01:25:24.670",100,"GSM1576434","SRR1740077.bw","HD31_NEU_7_SL17306",c("time: 7 d", "cell type: primary human neutrophils", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740078","SRP051688","SRS807510","SRX828422","SRR1740078",51010210,51010210,1,TRUE,FALSE,49981430,2486061464,NA,NA,"2015-01-05T10:21:33.147","2015-01-06T00:44:13.497","2015-01-06T01:20:43.287",100,"GSM1576435","SRR1740078.bw","HD31_NK_0_SL17286",c("time: 0 d", "cell type: primary human NK cells", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740079","SRP051688","SRS807511","SRX828423","SRR1740079",53152994,53152994,1,TRUE,FALSE,48596421,2404698781,NA,NA,"2015-01-05T10:21:30.997","2015-01-06T00:44:13.453","2015-01-06T01:25:24.967",100,"GSM1576436","SRR1740079.bw","HD31_NK_1_SL17294",c("time: 1 d", "cell type: primary human NK cells", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740080","SRP051688","SRS807512","SRX828424","SRR1740080",111238302,111238302,1,TRUE,FALSE,105738097,5249823697,NA,NA,"2015-01-05T10:22:09.330","2015-01-06T00:44:14.000","2015-01-06T01:25:25.243",100,"GSM1576437","SRR1740080.bw","HD31_NK_3_SL17302",c("time: 3 d", "cell type: primary human NK cells", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740081","SRP051688","SRS807513","SRX828425","SRR1740081",40046920,40046920,1,TRUE,FALSE,39337371,1957783101,NA,NA,"2015-01-05T10:23:11.873","2015-01-06T00:44:14.837","2015-01-06T01:20:43.650",100,"GSM1576438","SRR1740081.bw","HD31_NK_7_SL17310",c("time: 7 d", "cell type: primary human NK cells", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740082","SRP051688","SRS807514","SRX828426","SRR1740082",89184304,89184304,1,TRUE,FALSE,86839577,4316027018,NA,NA,"2015-01-05T10:22:04.533","2015-01-06T00:44:13.930","2015-01-06T01:20:43.960",100,"GSM1576439","SRR1740082.bw","HD31_PBMC_0_SL17281",c("time: 0 d", "cell type: primary human PBMC", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740083","SRP051688","SRS807515","SRX828427","SRR1740083",69789826,69789826,1,TRUE,FALSE,63455092,3139932972,NA,NA,"2015-01-05T10:22:47.953","2015-01-06T00:44:14.510","2015-01-06T01:28:44.137",100,"GSM1576440","SRR1740083.bw","HD31_PBMC_1_SL17289",c("time: 1 d", "cell type: primary human PBMC", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740084","SRP051688","SRS807516","SRX828428","SRR1740084",46723244,46723244,1,TRUE,FALSE,44614151,2216144658,NA,NA,"2015-01-05T10:21:49.097","2015-01-06T00:44:13.723","2015-01-06T01:25:25.513",100,"GSM1576441","SRR1740084.bw","HD31_PBMC_3_SL17297",c("time: 3 d", "cell type: primary human PBMC", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740085","SRP051688","SRS807517","SRX828429","SRR1740085",64821046,64821046,1,TRUE,FALSE,63386615,3153108608,NA,NA,"2015-01-05T10:21:28.823","2015-01-06T00:44:13.417","2015-01-06T01:33:28.433",100,"GSM1576442","SRR1740085.bw","HD31_PBMC_7_SL17305",c("time: 7 d", "cell type: primary human PBMC", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740086","SRP051688","SRS807518","SRX828430","SRR1740086",37300172,37300172,1,TRUE,FALSE,36758263,1829018392,NA,NA,"2015-01-05T10:21:52.100","2015-01-06T00:44:13.763","2015-01-06T01:28:44.567",100,"GSM1576443","SRR1740086.bw","HD31_T_0_SL17287",c("time: 0 d", "cell type: primary human T cells", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740087","SRP051688","SRS807519","SRX828431","SRR1740087",64082890,64082890,1,TRUE,FALSE,58498674,2895404489,NA,NA,"2015-01-05T10:23:16.400","2015-01-06T00:44:14.900","2015-01-06T01:28:44.950",100,"GSM1576444","SRR1740087.bw","HD31_T_1_SL17295",c("time: 1 d", "cell type: primary human T cells", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740088","SRP051688","SRS807520","SRX828432","SRR1740088",63452250,63452250,1,TRUE,FALSE,61083717,3034878886,NA,NA,"2015-01-05T10:22:02.203","2015-01-06T00:44:13.900","2015-01-06T01:16:17.840",100,"GSM1576445","SRR1740088.bw","HD31_T_3_SL17303",c("time: 3 d", "cell type: primary human T cells", "assay: RNA-seq", "donor: Donor: HD31")
"SRR1740089","SRP051688","SRS807521","SRX828433","SRR1740089",35121814,35121814,1,TRUE,FALSE,34492274,1716424577,NA,NA,"2015-01-05T10:23:01.883","2015-01-06T00:44:14.710","2015-01-06T01:20:44.313",100,"GSM1576446","SRR1740089.bw","HD31_T_7_SL17311",c("time: 7 d", "cell type: primary human T cells", "assay: RNA-seq", "donor: Donor: HD31")
